"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4"
"PERDMKQFFPTEJL-PFSSXTEVSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"WCQZHMYXJPCKJF-YKISTCFVSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"VCWYTXXFJMLXBV-PBYGZRPHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"STHVLFLKSIMKHT-DLZOOJRJSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"QDCPCPBYFNXINO-RQFZCCHVSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids"
"KPQXJVQFJZUGRC-OYMROJHFSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids"
"RTRPDDKCVKBLPF-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"HBFARTJEFUKQDS-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"HPFHYVCJRAWMEL-BQYQJAHWSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Styrenes","Styrenes"
"UASYVGIIXUPYNP-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"ZEVRIGOUYMJMLE-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"CLIQWBFKECNQNU-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones"
"LVYNFVWIKWLONP-ZWSQSZCWSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Acyclic monoterpenoids"
"DEBRBEDKRGQAPL-RPKNRIRISA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"LRTJMINIVSPVMX-ZVJWTWILSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"NNHQJGYIKGOYDM-OXKNUSSDSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"DYTYLMNUPWHHGQ-GYCFJXGYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"BHOYNBJAHBSDKO-DLZOOJRJSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,4-disubstituted thiazoles"
"LVYNFVWIKWLONP-VQSCWRMTSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Acyclic monoterpenoids"
"LVYNFVWIKWLONP-UNSUFORISA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Acyclic monoterpenoids"
