,locus_tag,description
0,ctg1_53,Periplasmic sensor domain found in signal transduction proteins
1,ctg1_53,GAF domain
2,ctg1_53,His Kinase A (phospho-acceptor) domain
3,ctg1_53,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
4,ctg1_54,Periplasmic binding protein domain
5,ctg1_55,Papain-like cysteine protease AvrRpt2
6,ctg1_56,Protein tyrosine and serine/threonine kinase
7,ctg1_58,Squalene/phytoene synthase
8,ctg1_59,Protein of unknown function (DUF938)
9,ctg1_60,Protein tyrosine and serine/threonine kinase
10,ctg1_63,FG-GAP-like repeat
11,ctg1_63,"Galactose oxidase, central domain"
12,ctg1_63,"Galactose oxidase, central domain"
13,ctg1_63,"Galactose oxidase, central domain"
14,ctg1_63,"Galactose oxidase, central domain"
15,ctg1_80,Alcohol dehydrogenase GroES-like domain
16,ctg1_80,Glucose dehydrogenase C-terminus
17,ctg1_81,Putative cyclase
18,ctg1_82,"Trehalase-like, N-terminal"
19,ctg1_82,Glycosyl hydrolases family 15
20,ctg1_84,Protein of unknown function (DUF692)
21,ctg1_86,"Bacterial regulatory proteins, tetR family"
22,ctg1_86,"AefR-like transcriptional repressor, C-terminal domain"
23,ctg1_87,DUF218 domain
24,ctg1_88,"Phosphatidate phosphatase APP1, catalytic domain"
25,ctg1_590,Thioesterase superfamily
26,ctg1_592,2-hydroxy-palmitic acid dioxygenase Mpo1-like
27,ctg1_593,RsbT co-antagonist protein rsbRD N-terminal domain
28,ctg1_593,GAF domain
29,ctg1_593,PAS fold
30,ctg1_593,His Kinase A (phospho-acceptor) domain
31,ctg1_593,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
32,ctg1_594,Ornithine cyclodeaminase/mu-crystallin family
33,ctg1_596,Protein of unknown function (DUF2892)
34,ctg1_598,NmrA-like family
35,ctg1_600,"Terpene synthase family 2, C-terminal metal binding"
36,ctg1_602,"Cytochrome C oxidase, cbb3-type, subunit III"
37,ctg1_607,Putative DNA-binding domain
38,ctg1_607,Putative ATP-dependent DNA helicase recG C-terminal
39,ctg1_609,LVIVD repeat
40,ctg1_609,LVIVD repeat
41,ctg1_921,Protein tyrosine and serine/threonine kinase
42,ctg1_921,PEGA domain
43,ctg1_922,ABC-2 type transporter
44,ctg1_923,ABC transporter
45,ctg1_924,ABC transporter
46,ctg1_924,ABC transporter
47,ctg1_924,ABC transporter
48,ctg1_926,"AAA domain, putative AbiEii toxin, Type IV TA system"
49,ctg1_928,Amidohydrolase
50,ctg1_930,"YcaO cyclodehydratase, ATP-ad Mg2+-binding"
51,ctg1_931,Nitroreductase family
52,ctg1_932,Protein tyrosine and serine/threonine kinase
53,ctg1_932,AAA ATPase domain
54,ctg1_933,Domain of unknown function (DUF4135)
55,ctg1_933,Lanthionine synthetase C-like protein
56,ctg1_999,Endonuclease/Exonuclease/phosphatase family
57,ctg1_1000,ATPase family associated with various cellular activities (AAA)
58,ctg1_1001,VWA domain containing CoxE-like protein
59,ctg1_1006,Protein of unknown function (DUF3396)
60,ctg1_1007,Cytochrome P450
61,ctg1_1008,"Terpene synthase family 2, C-terminal metal binding"
62,ctg1_1009,YCII-related domain
63,ctg1_1010,Beta barrel Pore-forming domain
64,ctg1_1012,"Bacteriocin-protection, YdeI or OmpD-Associated"
65,ctg1_1013,Family of unknown function (DUF6068)
66,ctg1_1015,Putative esterase
67,ctg1_1016,Rhomboid family
68,ctg1_1017,Alpha/beta hydrolase family
69,ctg1_1124,Flavodoxin-like fold
70,ctg1_1126,LysR substrate binding domain
71,ctg1_1127,Isochorismatase family
72,ctg1_1129,Aminotransferase class I and II
73,ctg1_1130,Stress responsive A/B Barrel Domain
74,ctg1_1131,Prephenate dehydratase
75,ctg1_1132,Hydroxymethylglutaryl-coenzyme A reductase
76,ctg1_1133,GHMP kinases N terminal domain
77,ctg1_1133,GHMP kinases C terminal
78,ctg1_1135,"Terpene synthase family 2, C-terminal metal binding"
79,ctg1_1137,Homeodomain-like domain
80,ctg1_1137,Integrase core domain
81,ctg1_1138,"Oxidoreductase family, NAD-binding Rossmann fold"
82,ctg1_1139,DegT/DnrJ/EryC1/StrS aminotransferase family
83,ctg1_1140,NUDIX domain
84,ctg1_1141,DegT/DnrJ/EryC1/StrS aminotransferase family
85,ctg1_1143,Haloacid dehalogenase-like hydrolase
86,ctg1_1144,Fatty acid desaturase
87,ctg1_1286,Putative metal-binding motif
88,ctg1_1286,Putative metal-binding motif
89,ctg1_1287,Protein kinase domain
90,ctg1_1289,FHA domain
91,ctg1_1290,Calcineurin-like phosphoesterase
92,ctg1_1291,NAD dependent epimerase/dehydratase family
93,ctg1_1291,Domain of unknown function (DUF1731)
94,ctg1_1294,Flavin containing amine oxidoreductase
95,ctg1_1295,Squalene/phytoene synthase
96,ctg1_1296,Flavin containing amine oxidoreductase
97,ctg1_1298,Glycosyl transferase family 21
98,ctg1_1300,Lycopene cyclase
99,ctg1_1301,Acyltransferase
100,ctg1_1302,MerR HTH family regulatory protein
101,ctg1_1302,B12 binding domain
102,ctg1_1302,B12 binding domain
103,ctg1_1303,Amidohydrolase family
104,ctg1_1304,SnoaL-like polyketide cyclase
105,ctg1_1305,Dienelactone hydrolase family
106,ctg1_1306,Domain of unknown function (DUF4265)
107,ctg1_1307,HNH endonuclease
108,ctg1_1347,GON domain
109,ctg1_1347,Concanavalin A-like lectin/glucanases superfamily
110,ctg1_1347,Bacterial Ig-like domain
111,ctg1_1348,Protein kinase domain
112,ctg1_1350,FHA domain
113,ctg1_1350,Sigma-54 interaction domain
114,ctg1_1350,"Bacterial regulatory protein, Fis family"
115,ctg1_1351,"Bacterial regulatory helix-turn-helix protein, lysR family"
116,ctg1_1351,LysR substrate binding domain
117,ctg1_1352,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
118,ctg1_1354,Radical SAM superfamily
119,ctg1_1354,Iron-sulfur cluster-binding domain
120,ctg1_1355,Coenzyme PQQ synthesis protein D (PqqD)
121,ctg1_1356,TENA/THI-4/PQQC family
122,ctg1_1357,Beta-lactamase superfamily domain
123,ctg1_1358,Insulinase (Peptidase family M16)
124,ctg1_1358,Peptidase M16 inactive domain
125,ctg1_1359,Tetratricopeptide repeat
126,ctg1_1359,Tetratricopeptide repeat
127,ctg1_1359,Tetratricopeptide repeat
128,ctg1_1359,Tetratricopeptide repeat
129,ctg1_1359,Tetratricopeptide repeat
130,ctg1_1359,Tetratricopeptide repeat
131,ctg1_1359,Tetratricopeptide repeat
132,ctg1_1359,Tetratricopeptide repeat
133,ctg1_1359,Tetratricopeptide repeat
134,ctg1_1359,Tetratricopeptide repeat
135,ctg1_1359,Tetratricopeptide repeat
136,ctg1_1359,Tetratricopeptide repeat
137,ctg1_1359,Tetratricopeptide repeat
138,ctg1_1359,CHAT domain
139,ctg1_1360,ADYC domain
140,ctg1_1681,Cellulase (glycosyl hydrolase family 5)
141,ctg1_1682,Tetratricopeptide repeat
142,ctg1_1682,Domain of Unknown Function with PDB structure (DUF3858)
143,ctg1_1683,Protein kinase domain
144,ctg1_1684,Methyltransferase domain
145,ctg1_1685,Alpha-2-macroglobulin family
146,ctg1_1686,MG2 domain
147,ctg1_1691,His Kinase A (phospho-acceptor) domain
148,ctg1_1691,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
149,ctg1_1692,Response regulator receiver domain
150,ctg1_1692,Sigma-54 interaction domain
151,ctg1_1692,"Bacterial regulatory protein, Fis family"
152,ctg1_1693,AMP-binding enzyme
153,ctg1_1693,Methyltransferase domain
154,ctg1_1693,Phosphopantetheine attachment site
155,ctg1_1693,Condensation domain
156,ctg1_1693,AMP-binding enzyme
157,ctg1_1693,AMP-binding enzyme C-terminal domain
158,ctg1_1693,Phosphopantetheine attachment site
159,ctg1_1693,Thioesterase domain
160,ctg1_1694,Uncharacterised protein family UPF0047
161,ctg1_1695,Phospholipase/Carboxylesterase
162,ctg1_1696,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
163,ctg1_1697,Lecithin:cholesterol acyltransferase
164,ctg1_1697,CHAT domain
165,ctg1_1698,Cytochrome P450
166,ctg1_1698,Cytochrome P450
167,ctg1_1699,MarR family
168,ctg1_1700,"Di-haem oxidoreductase, putative peroxidase"
169,ctg1_1700,"Di-haem oxidoreductase, putative peroxidase"
170,ctg1_1701,CoA binding domain
171,ctg1_1701,Succinyl-CoA ligase like flavodoxin domain
172,ctg1_1701,Ligase-CoA domain
173,ctg1_1701,ATP-grasp domain
174,ctg1_1701,Acetyltransferase (GNAT) domain
175,ctg1_1704,HEAT repeats
176,ctg1_1706,alpha/beta hydrolase fold
177,ctg1_1707,"Signal peptidase, peptidase S26"
178,ctg1_1708,DJ-1/PfpI family
179,ctg1_1802,Phosphofructokinase
180,ctg1_1804,Family of unknown function (DUF6310)
181,ctg1_1805,Family of unknown function (DUF5953)
182,ctg1_1806,Domain of unknown function (DUF4287)
183,ctg1_1807,Phosphotransferase enzyme family
184,ctg1_1808,Family of unknown function (DUF6310)
185,ctg1_1809,Family of unknown function (DUF5953)
186,ctg1_1810,Domain of unknown function (DUF4287)
187,ctg1_1811,Domain of unknown function (DUF4135)
188,ctg1_1811,Lanthionine synthetase C-like protein
189,ctg1_1814,LysE type translocator
190,ctg1_1816,"Anthranilate synthase component I, N terminal region"
191,ctg1_1816,chorismate binding enzyme
192,ctg1_1817,Glutamine amidotransferase class-I
193,ctg1_1818,Amino-transferase class IV
194,ctg1_1820,Acetyltransferase (GNAT) family
195,ctg1_1821,Alpha/beta hydrolase family
196,ctg1_1859,Transglycosylase associated protein
197,ctg1_1860,Radical SAM superfamily
198,ctg1_1860,Biotin and Thiamin Synthesis associated domain
199,ctg1_1861,Aminotransferase class I and II
200,ctg1_1862,AAA domain
201,ctg1_1864,Aminotransferase class I and II
202,ctg1_1866,OPT oligopeptide transporter protein
203,ctg1_1868,Enoyl-(Acyl carrier protein) reductase
204,ctg1_1869,Methyl-accepting chemotaxis protein (MCP) signalling domain
205,ctg1_1870,4'-phosphopantetheinyl transferase N-terminal domain
206,ctg1_1870,4'-phosphopantetheinyl transferase superfamily
207,ctg1_1871,"Beta-ketoacyl synthase, N-terminal domain"
208,ctg1_1871,"Beta-ketoacyl synthase, C-terminal domain"
209,ctg1_1871,"Beta-ketoacyl synthase, N-terminal domain"
210,ctg1_1871,"Beta-ketoacyl synthase, C-terminal domain"
211,ctg1_1871,Ketoacyl-synthetase C-terminal extension
212,ctg1_1871,KR domain
213,ctg1_1871,Polyketide synthase dehydratase
214,ctg1_1873,"Beta-ketoacyl synthase, N-terminal domain"
215,ctg1_1873,"Beta-ketoacyl synthase, C-terminal domain"
216,ctg1_1873,"Beta-ketoacyl synthase, N-terminal domain"
217,ctg1_1873,"Beta-ketoacyl synthase, C-terminal domain"
218,ctg1_1873,Ketoacyl-synthetase C-terminal extension
219,ctg1_1873,Acyl transferase domain
220,ctg1_1874,Prokaryotic N-terminal methylation motif
221,ctg1_1874,"Type II secretion system (T2SS), protein G"
222,ctg1_1875,Receptor family ligand binding region
223,ctg1_1877,Phosphoenolpyruvate carboxykinase N-terminal domain
224,ctg1_1877,Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
225,ctg1_1878,Citrate transporter
226,ctg1_1879,Membrane dipeptidase (Peptidase family M19)
227,ctg1_1879,Dickkopf N-terminal cysteine-rich region
228,ctg1_1880,"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain"
229,ctg1_1880,Molybdopterin cofactor-binding domain
230,ctg1_1880,Molybdopterin cofactor-binding domain
231,ctg1_1881,FAD binding domain in molybdopterin dehydrogenase
232,ctg1_1881,CO dehydrogenase flavoprotein C-terminal domain
233,ctg1_1882,2Fe-2S iron-sulfur cluster binding domain
234,ctg1_1882,[2Fe-2S] binding domain
235,ctg1_1883,Major Facilitator Superfamily
236,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
237,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
238,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
239,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
240,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
241,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
242,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
243,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
244,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
245,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
246,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
247,ctg1_1884,Regulator of chromosome condensation (RCC1) repeat
248,ctg1_1886,Glycoside hydrolase family 44
249,ctg1_1886,PKD domain
250,ctg1_2257,Alcohol dehydrogenase GroES-associated
251,ctg1_2257,Alcohol dehydrogenase GroES-like domain
252,ctg1_2257,Zinc-binding dehydrogenase
253,ctg1_2258,Polyketide cyclase / dehydrase and lipid transport
254,ctg1_2259,Phosphate-selective porin O and P
255,ctg1_2265,"Lantibiotic dehydratase, N terminus"
256,ctg1_2265,Lantibiotic biosynthesis dehydratase C-term
257,ctg1_2266,Lanthionine synthetase C-like protein
258,ctg1_2268,Phosphoribulokinase / Uridine kinase family
259,ctg1_2269,ArgJ family
260,ctg1_2273,Carbohydrate esterase 2 N-terminal
261,ctg1_2273,GDSL-like Lipase/Acylhydrolase family
262,ctg1_2274,AAA domain (Cdc48 subfamily)
263,ctg1_2274,"C-terminal, D2-small domain, of ClpB protein"
264,ctg1_2274,PCRF domain
265,ctg1_2275,Serine endopeptidase inhibitors
266,ctg1_2279,ThiF family
267,ctg1_2281,Protein of unknown function (DUF1684)
268,ctg1_2282,Galactose mutarotase-like
269,ctg1_2282,Glycosyl hydrolases family 31
270,ctg1_2285,von Willebrand factor type A domain
271,ctg1_2287,Response regulator receiver domain
272,ctg1_2288,Response regulator receiver domain
273,ctg1_2288,PAS fold
274,ctg1_2288,His Kinase A (phospho-acceptor) domain
275,ctg1_2288,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
276,ctg1_2289,Calcineurin-like phosphoesterase
277,ctg1_2290,Sigma-70 region 2
278,ctg1_2292,NAD(P)H-binding
279,ctg1_2293,Thioesterase superfamily
280,ctg1_2295,UvrD/REP helicase N-terminal domain
281,ctg1_2295,UvrD-like helicase C-terminal domain
282,ctg1_2296,MatE
283,ctg1_2296,MatE
284,ctg1_2297,Adenosine deaminase
285,ctg1_2298,Enoyl-(Acyl carrier protein) reductase
286,ctg1_2300,Nucleotidyl transferase
287,ctg1_2301,FHA domain
288,ctg1_2301,"Diguanylate cyclase, GGDEF domain"
289,ctg1_2302,NAD dependent epimerase/dehydratase family
290,ctg1_2303,Male sterility protein
291,ctg1_2303,AMP-binding enzyme
292,ctg1_2303,AMP-binding enzyme C-terminal domain
293,ctg1_2303,Phosphopantetheine attachment site
294,ctg1_2303,Acyltransferase
295,ctg1_2304,Lactate racemase N-terminal domain
